filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Box_2_Acidic_022_5_641.jpg,1093,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":1,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_022_5_641.jpg,1093,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":71,""cy"":18}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_028_1_918.jpg,1270,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":3,""cy"":14}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_028_1_918.jpg,1270,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":83,""cy"":19}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_032_4_1021.jpg,1132,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":1,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_032_4_1021.jpg,1132,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":66,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_046_2_1055.jpg,1066,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":1,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_046_2_1055.jpg,1066,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":60,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_052_4_1678.jpg,1052,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":3,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_052_4_1678.jpg,1052,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":58,""cy"":13}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_056_6_1363.jpg,1030,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":2,""cy"":19}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_056_6_1363.jpg,1030,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":50,""cy"":14}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_060_2_1887.jpg,1104,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":0,""cy"":24}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_060_2_1887.jpg,1104,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":64,""cy"":12}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_1_2725.jpg,1238,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":2,""cy"":13}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_1_2725.jpg,1238,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":84,""cy"":17}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_2_2738.jpg,1162,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":2,""cy"":17}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_2_2738.jpg,1162,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":61,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_2_2739.jpg,1119,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":1,""cy"":19}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_2_2739.jpg,1119,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":69,""cy"":13}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_4_2771.jpg,950,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":1,""cy"":14}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_062_4_2771.jpg,950,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":36,""cy"":13}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_064_1_2096.jpg,1049,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":2,""cy"":13}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_064_1_2096.jpg,1049,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":57,""cy"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_064_3_2119.jpg,1291,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":3,""cy"":17}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_064_3_2119.jpg,1291,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""point"",""cx"":80,""cy"":14}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Box_2_Acidic_064_6_2167.jpg,1258,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""point"",""cx"":2,""cy"":14}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
